Fumbles Lost,Games Played,Player Name,Position,Team,Passing Yards,Rushing Yards,Receiving Yards,Passing TDs,Rushing TDs,Receiving TDs,Total Yards
0.0,12.0,Brian Hill,RB,ATL,0.0,323.0,69.0,,,,392.0
1.0,14.0,Jaylen Samuels,RB,PIT,35.0,175.0,305.0,,,,515.0
0.0,15.0,Tajae Sharpe,WR,TEN,0.0,0.0,329.0,,,,329.0
0.0,11.0,Eric Ebron,TE,IND,0.0,0.0,375.0,,,,375.0
0.0,16.0,Ted Ginn,WR,NOR,0.0,18.0,421.0,,,,439.0
1.0,11.0,Nelson Agholor,WR,PHI,0.0,7.0,363.0,,,,370.0
0.0,16.0,Cameron Brate,TE,TAM,0.0,0.0,311.0,,,,311.0
0.0,16.0,Keelan Cole,WR,JAX,0.0,6.0,361.0,,,,367.0
0.0,16.0,Blake Jarwin,TE,DAL,0.0,0.0,365.0,,,,365.0
1.0,13.0,Benny Snell,RB,PIT,0.0,426.0,23.0,,,,449.0
0.0,16.0,Jordan Akins,TE,HOU,0.0,0.0,418.0,,,,418.0
0.0,5.0,David Blough,QB,DET,984.0,31.0,19.0,,,,1034.0
1.0,4.0,Eli Manning,QB,NYG,1042.0,7.0,0.0,,,,1049.0
2.0,16.0,Alex Erickson,WR,CIN,26.0,33.0,529.0,,,,588.0
0.0,13.0,Gerald Everett,TE,LAR,0.0,0.0,408.0,,,,408.0
0.0,11.0,Jacob Hollister,TE,SEA,0.0,0.0,349.0,,,,349.0
0.0,11.0,Tre'Quan Smith,WR,NOR,0.0,0.0,234.0,,,,234.0
1.0,12.0,Darrel Williams,RB,KAN,0.0,141.0,167.0,,,,308.0
1.0,14.0,Allen Hurns,WR,MIA,0.0,0.0,416.0,,,,416.0
0.0,15.0,Dawson Knox,TE,BUF,0.0,9.0,388.0,,,,397.0
0.0,11.0,Chris Thompson,RB,WAS,0.0,138.0,378.0,,,,516.0
0.0,6.0,Will Dissly,TE,SEA,0.0,7.0,262.0,,,,269.0
1.0,8.0,Devlin Hodges,QB,PIT,1063.0,68.0,0.0,,,,1131.0
1.0,16.0,Russell Gage,WR,ATL,0.0,12.0,446.0,,,,458.0
0.0,5.0,Derrius Guice,RB,WAS,0.0,245.0,79.0,,,,324.0
1.0,14.0,O.J. Howard,TE,TAM,0.0,0.0,459.0,,,,459.0
0.0,12.0,Adam Humphries,WR,TEN,0.0,1.0,374.0,,,,375.0
0.0,16.0,J.D. McKissic,RB,DET,0.0,205.0,233.0,,,,438.0
0.0,12.0,T.J. Hockenson,TE,DET,0.0,0.0,367.0,,,,367.0
0.0,11.0,Demaryius Thomas,WR,NYJ,0.0,0.0,433.0,,,,433.0
0.0,16.0,Olabisi Johnson,WR,MIN,0.0,6.0,294.0,,,,300.0
0.0,16.0,Mike Boone,RB,MIN,0.0,273.0,17.0,,,,290.0
0.0,11.0,Josh Gordon,WR,2TM,0.0,1.0,426.0,,,,427.0
0.0,16.0,Hayden Hurst,TE,BAL,0.0,0.0,349.0,,,,349.0
0.0,13.0,Foster Moreau,TE,OAK,0.0,0.0,174.0,,,,174.0
0.0,16.0,Jalen Richard,RB,OAK,0.0,145.0,323.0,,,,468.0
0.0,14.0,Jordan Wilkins,RB,IND,0.0,307.0,43.0,,,,350.0
0.0,14.0,Vance McDonald,TE,PIT,0.0,2.0,273.0,,,,275.0
0.0,13.0,Albert Wilson,WR,MIA,20.0,45.0,351.0,,,,416.0
